arm,cost_mult,cost_pct,mdd_pct,n_days,net_2020,net_2021,net_2022,net_2023,net_2024,net_pct,panel,seed,sharpe,sharpe_2020,sharpe_2021,sharpe_2022,sharpe_2023,sharpe_2024,turnover
Online GRU,1.0,6.710496363866399,19.982621334628785,1250,14.565083750976667,7.288546762675646,-2.0496919401567406,-6.540869542381903,2.231995070222205,15.495064101335881,set3,48,0.24450631431079795,0.7324987405107074,0.6105582516656387,-0.18647147967698066,-0.8435948568395885,0.23528410124484567,0.14512307371692887
Online GRU,1.5,10.0657445457996,20.948105354503525,1250,,,,,,12.139815919402675,set3,48,0.19156853058892548,,,,,,0.14512307371692887
Online GRU,2.0,13.420992727732798,22.226396816834928,1250,,,,,,8.784567737469482,set3,48,0.13862680754116957,,,,,,0.14512307371692887
Online GRU,3.0,20.1314890915992,25.122467140016226,1250,,,,,,2.0740713736030676,set3,48,0.03273242830053537,,,,,,0.14512307371692887
Online GRU,5.0,33.552481819332,33.6080714575407,1250,,,,,,-11.346921354129732,set3,48,-0.17909386410134556,,,,,,0.14512307371692887
Online GRU,1.0,6.067332974741527,16.322590574324604,1250,24.18723988563564,-3.750023125977226,9.038599004377856,16.414230954434757,1.2227141385943516,47.11276085706538,set3,49,0.7417164482467967,1.4827496065049333,-0.32474973918917516,0.6582991358373967,1.6197455058442316,0.11213254545989822,0.1341267095084334
Online GRU,1.5,9.100999462112291,16.426419509675572,1250,,,,,,44.07909436969463,set3,49,0.6939974197197866,,,,,,0.1341267095084334
Online GRU,2.0,12.134665949483054,16.530248445026544,1250,,,,,,41.04542788232386,set3,49,0.6462717629859722,,,,,,0.1341267095084334
Online GRU,3.0,18.201998924224583,16.737906315728473,1250,,,,,,34.97809490758234,set3,49,0.5508014015115512,,,,,,0.1341267095084334
Online GRU,5.0,30.336664873707633,18.904432646523674,1250,,,,,,22.84342895809928,set3,49,0.3597903513643851,,,,,,0.1341267095084334
Online GRU,1.0,6.27342826580486,16.104712517897095,1250,23.646532912023737,3.675792557115272,1.0011479494396942,-6.105835810844053,3.0820197740204023,25.299657381755065,set3,50,0.41108078663484215,1.4596136765971395,0.3047275646254148,0.07362167405579276,-0.6807289395153578,0.3294056020698278,0.1394166717114911
Online GRU,1.5,9.41014239870729,17.090840221641184,1250,,,,,,22.162943248852628,set3,50,0.3601303890701813,,,,,,0.1394166717114911
