islands,panel,seed,net_pct,sharpe,mdd_pct
40,set1,48,23.22725359292807,0.3572660146459318,27.253717841831538
40,set1,49,28.721354170150175,0.38398815852802953,34.2704640400956
40,set1,50,56.66897358253207,0.7311703703243498,33.61474176787095
40,set1,51,26.952267193875162,0.3758257633281408,32.39481297996314
40,set2,42,70.50458459878932,1.1875584966574186,22.50709970697266
40,set2,43,81.83679469752572,1.2746882486760447,22.260322466471298
40,set2,44,53.71233919223489,0.8256136283802908,24.95017863580511
40,set2,45,70.81919241145748,1.1185323832344256,19.040966145556297
40,set2,46,67.99128674126929,1.0909960642226066,17.02264237593924
40,set2,47,93.46686391031574,1.356290210491148,21.096029817800172
40,set2,48,75.5466845674752,1.190470176197925,17.71028561938523
40,set2,49,78.5901319020454,1.2333574861049224,22.53025781875408
40,set2,50,87.76459307281777,1.25787466797812,25.310940161670775
40,set2,51,62.042084297065095,1.1367030242762544,16.207886619213124
40,set3,42,35.83601592768768,0.4984718041457027,23.96924936121899
40,set3,43,42.36676680424904,0.5986857779411159,26.40218437129803
40,set3,44,36.51198404656844,0.5028952873032809,21.236770600625558
40,set3,45,25.135049504116765,0.38108227816192275,23.92721315225884
40,set3,46,38.45205664979317,0.5221491655214998,23.34055733636882
40,set3,47,39.684380839436855,0.5011402285937929,23.05200334513072
40,set3,48,28.377124219518812,0.3513892694925365,26.95555656097784
40,set3,49,42.323842325313954,0.5933295079988442,26.47273206037093
40,set3,50,35.38765187639991,0.47875510349884004,23.71566975940914
40,set3,51,24.873355789323696,0.32479485755999715,25.896271280052975
40,set4,42,32.60647977481956,0.4840308409560998,25.808290416970635
40,set4,43,50.071834531853156,0.775833981785128,16.990050406959966
40,set4,44,35.80729878363718,0.5044140587015897,25.15718345763584
40,set4,45,37.11434529185686,0.5755476989315617,22.0152978915374
40,set4,46,35.85530850704321,0.5411832188392823,22.281689712331058
40,set4,47,22.75468157945262,0.3295925482778305,28.35481400094151
40,set4,48,53.706278211657555,0.8142763889001823,18.778499111277906
40,set4,49,44.42000527307752,0.7019174972294102,18.124698333916093
40,set4,50,51.367361507528656,0.7773739545834119,20.731442751423174
40,set4,51,39.43961283570933,0.5900518853525578,25.508821495559896
50,set1,42,36.8382370044869,0.53617777952931,33.81433282219513
50,set1,43,40.262278473838364,0.5328390109293405,26.898293514882525
50,set1,44,38.229145491596405,0.5212921798483594,28.88518779551189
50,set1,45,20.317184394902156,0.2918918778312973,28.86555844837167
50,set1,46,57.393757825930415,0.8261714171120598,25.651787091620072
50,set1,47,36.99761033975083,0.4688939222344499,29.9742840430133
50,set1,48,33.77913531302724,0.4618568719575847,36.16402241540684
